time,price
01.01.2020,225.9199981689453
08.01.2020,227.1699981689453
15.01.2020,228.6300048828125
22.01.2020,224.02999877929688
29.01.2020,225.0800018310547
05.02.2020,227.3300018310547
12.02.2020,226.77000427246094
19.02.2020,218.0500030517578
26.02.2020,208.80999755859375
04.03.2020,202.72999572753906
11.03.2020,187.60000610351562
18.03.2020,178.1999969482422
25.03.2020,182.8300018310547
01.04.2020,185.25
08.04.2020,192.94000244140625
15.04.2020,183.47999572753906
22.04.2020,187.1199951171875
29.04.2020,176.02999877929688
06.05.2020,172.80999755859375
13.05.2020,172.49000549316406
20.05.2020,180.33999633789062
27.05.2020,185.94000244140625
03.06.2020,196.07000732421875
10.06.2020,182.3000030517578
17.06.2020,181.00999450683594
24.06.2020,178.50999450683594
01.07.2020,181.14999389648438
08.07.2020,189.7100067138672
15.07.2020,192.27000427246094
22.07.2020,194.1199951171875
29.07.2020,200.24000549316406
05.08.2020,212.66000366210938
12.08.2020,208.3300018310547
19.08.2020,213.35000610351562
26.08.2020,218.5500030517578
02.09.2020,217.8000030517578
09.09.2020,218.94000244140625
16.09.2020,214.16000366210938
23.09.2020,210.44000244140625
30.09.2020,210.25999450683594
07.10.2020,212.30999755859375
14.10.2020,210.05999755859375
21.10.2020,206.8800048828125
28.10.2020,206.6300048828125
04.11.2020,228.47999572753906
11.11.2020,233.16000366210938
18.11.2020,233.9199981689453
25.11.2020,229.67999267578125
02.12.2020,228.19000244140625
09.12.2020,224.3800048828125
16.12.2020,221.8800048828125
23.12.2020,229.57000732421875
30.12.2020,227.47000122070312
06.01.2021,233.02999877929688
13.01.2021,234.5500030517578
20.01.2021,231.57000732421875
27.01.2021,232.24000549316406
03.02.2021,239.91000366210938
10.02.2021,245.27999877929688
17.02.2021,245.52999877929688
24.02.2021,249.22000122070312
03.03.2021,259.0199890136719
10.03.2021,251.5
17.03.2021,248.30999755859375
24.03.2021,258.19000244140625
31.03.2021,263.05999755859375
07.04.2021,267.1000061035156
14.04.2021,267.8900146484375
21.04.2021,273.6499938964844
28.04.2021,280.260009765625
05.05.2021,285.6300048828125
12.05.2021,287.5899963378906
19.05.2021,287.20001220703125
26.05.2021,289.8399963378906
02.06.2021,289.19000244140625
09.06.2021,283.94000244140625
16.06.2021,276.9200134277344
23.06.2021,276.2099914550781
30.06.2021,277.32000732421875
07.07.2021,279.2099914550781
14.07.2021,276.8900146484375
21.07.2021,280.7799987792969
28.07.2021,281.79998779296875
04.08.2021,288.94000244140625
11.08.2021,289.1000061035156
18.08.2021,286.0199890136719
25.08.2021,285.7699890136719
01.09.2021,278.8999938964844
08.09.2021,277.20001220703125
15.09.2021,273.17999267578125
22.09.2021,276.7900085449219
29.09.2021,278.04998779296875
06.10.2021,278.6199951171875
13.10.2021,284.8299865722656
20.10.2021,290.8500061035156
27.10.2021,287.92999267578125
03.11.2021,286.3500061035156
10.11.2021,283.3599853515625
17.11.2021,288.55999755859375
24.11.2021,276.69000244140625
01.12.2021,284.9700012207031
08.12.2021,295.0299987792969
15.12.2021,293.239990234375
22.12.2021,298.2900085449219
29.12.2021,308.5299987792969
05.01.2022,319.79998779296875
12.01.2022,320.2900085449219
19.01.2022,307.19000244140625
26.01.2022,313.9599914550781
02.02.2022,321.44000244140625
09.02.2022,316.20001220703125
16.02.2022,314.1600036621094
23.02.2022,316.8399963378906
02.03.2022,318.5199890136719
09.03.2022,332.54998779296875
16.03.2022,349.92999267578125
23.03.2022,355.1199951171875
30.03.2022,344.79998779296875
06.04.2022,349.739990234375
13.04.2022,348.5
20.04.2022,330.6499938964844
27.04.2022,318.989990234375
04.05.2022,312.5299987792969
11.05.2022,314.6000061035156
18.05.2022,309.1700134277344
25.05.2022,315.9800109863281
01.06.2022,313.6499938964844
08.06.2022,277.6400146484375
15.06.2022,271.7699890136719
22.06.2022,273.8599853515625
29.06.2022,275.69000244140625
06.07.2022,277.2799987792969
13.07.2022,283.54998779296875
20.07.2022,285.30999755859375
27.07.2022,292.1700134277344
03.08.2022,292.7699890136719
10.08.2022,306.6499938964844
17.08.2022,289.6499938964844
24.08.2022,285.4200134277344
31.08.2022,276.5899963378906
07.09.2022,278.2900085449219
14.09.2022,277.1300048828125
21.09.2022,265.4700012207031
28.09.2022,280.489990234375
05.10.2022,267.30999755859375
12.10.2022,281.6700134277344
19.10.2022,289.239990234375
26.10.2022,294.1300048828125
02.11.2022,292.6099853515625
09.11.2022,309.9800109863281
16.11.2022,315.760009765625
23.11.2022,315.1300048828125
30.11.2022,307.7799987792969
07.12.2022,312.3299865722656
14.12.2022,302.0
21.12.2022,305.54998779296875
28.12.2022,308.8999938964844
